Salary_men,Salary_woman,Age_men,Age_woman,Years_exp_men,Years_exp_woman
175000.0,80000.0,48.0,38.0,21.0,10.0
80000.0,170000.0,35.0,46.0,7.0,20.0
35000.0,40000.0,27.0,29.0,1.5,2.0
150000.0,105000.0,46.0,37.0,18.0,9.0
105000.0,145000.0,34.0,44.0,9.0,15.0
40000.0,40000.0,29.0,27.0,2.0,2.0
,85000.0,,36.0,,8.0
140000.0,130000.0,43.0,43.0,16.0,14.0
45000.0,95000.0,26.0,33.0,1.5,6.0
85000.0,100000.0,35.0,34.0,7.0,9.0
140000.0,180000.0,42.0,50.0,18.0,22.0
50000.0,35000.0,31.0,28.0,4.0,1.5
80000.0,95000.0,38.0,39.0,10.0,12.0
170000.0,170000.0,46.0,47.0,20.0,19.0
40000.0,45000.0,29.0,30.0,2.0,3.0
105000.0,95000.0,37.0,34.0,9.0,7.0
145000.0,120000.0,44.0,40.0,15.0,13.0
40000.0,40000.0,27.0,28.0,2.0,2.0
85000.0,90000.0,36.0,41.0,8.0,11.0
130000.0,155000.0,43.0,45.0,14.0,17.0
95000.0,55000.0,33.0,32.0,6.0,5.0
100000.0,110000.0,34.0,35.0,9.0,9.0
180000.0,180000.0,50.0,49.0,22.0,21.0
35000.0,45000.0,28.0,30.0,1.5,3.0
95000.0,130000.0,39.0,44.0,12.0,16.0
170000.0,45000.0,47.0,27.0,19.0,1.5
45000.0,90000.0,30.0,36.0,3.0,7.0
95000.0,160000.0,34.0,41.0,7.0,17.0
120000.0,50000.0,40.0,31.0,13.0,4.0
40000.0,120000.0,28.0,39.0,2.0,10.0
90000.0,170000.0,41.0,47.0,11.0,20.0
155000.0,40000.0,45.0,30.0,17.0,2.0
55000.0,110000.0,32.0,38.0,5.0,9.0
110000.0,150000.0,35.0,45.0,9.0,15.0
180000.0,40000.0,49.0,28.0,21.0,2.0
45000.0,85000.0,30.0,35.0,3.0,8.0
130000.0,130000.0,44.0,44.0,16.0,14.0
45000.0,100000.0,27.0,34.0,1.5,6.0
90000.0,95000.0,36.0,35.0,7.0,9.0
160000.0,180000.0,41.0,50.0,17.0,22.0
50000.0,35000.0,31.0,29.0,4.0,1.5
120000.0,100000.0,39.0,40.0,10.0,12.0
170000.0,170000.0,47.0,48.0,20.0,19.0
40000.0,45000.0,30.0,31.0,2.0,3.0
110000.0,100000.0,38.0,33.0,9.0,7.0
150000.0,140000.0,45.0,42.0,15.0,13.0
40000.0,40000.0,28.0,28.0,2.0,2.0
85000.0,105000.0,35.0,40.0,8.0,11.0
130000.0,160000.0,44.0,46.0,14.0,18.0
100000.0,70000.0,34.0,33.0,6.0,5.0
95000.0,120000.0,35.0,37.0,9.0,9.0
180000.0,190000.0,50.0,51.0,22.0,21.0
35000.0,45000.0,29.0,30.0,1.5,3.0
100000.0,120000.0,40.0,43.0,12.0,15.0
170000.0,50000.0,48.0,27.0,19.0,1.5
45000.0,85000.0,31.0,35.0,3.0,8.0
100000.0,140000.0,33.0,42.0,7.0,13.0
140000.0,45000.0,42.0,32.0,13.0,3.0
40000.0,100000.0,28.0,37.0,2.0,9.0
105000.0,140000.0,40.0,45.0,11.0,16.0
160000.0,70000.0,46.0,33.0,18.0,5.0
70000.0,120000.0,33.0,39.0,5.0,10.0
120000.0,160000.0,37.0,44.0,9.0,18.0
190000.0,40000.0,51.0,29.0,21.0,1.5
45000.0,120000.0,30.0,38.0,3.0,10.0
120000.0,150000.0,43.0,46.0,15.0,19.0
50000.0,70000.0,27.0,34.0,1.5,6.0
85000.0,95000.0,35.0,36.0,8.0,8.0
140000.0,180000.0,42.0,49.0,13.0,21.0
45000.0,50000.0,32.0,31.0,3.0,3.0
100000.0,95000.0,37.0,41.0,9.0,11.0
140000.0,170000.0,45.0,47.0,16.0,20.0
70000.0,40000.0,33.0,30.0,5.0,2.0
120000.0,110000.0,39.0,38.0,10.0,9.0
160000.0,150000.0,44.0,45.0,18.0,15.0
40000.0,40000.0,29.0,28.0,1.5,2.0
120000.0,85000.0,38.0,35.0,10.0,8.0
150000.0,130000.0,46.0,44.0,19.0,14.0
70000.0,100000.0,34.0,34.0,6.0,6.0
95000.0,95000.0,36.0,35.0,8.0,9.0
180000.0,180000.0,49.0,50.0,21.0,22.0
50000.0,350.0,31.0,29.0,3.0,1.5
95000.0,,41.0,,11.0,
170000.0,120000.0,47.0,37.0,20.0,10.0
40000.0,160000.0,30.0,46.0,2.0,18.0
110000.0,50000.0,38.0,31.0,9.0,3.0
150000.0,110000.0,45.0,42.0,15.0,12.0
40000.0,40000.0,28.0,29.0,2.0,1.5
85000.0,95000.0,35.0,36.0,8.0,8.0
130000.0,140000.0,44.0,44.0,14.0,15.0
100000.0,60000.0,34.0,33.0,6.0,4.0
95000.0,110000.0,35.0,39.0,9.0,9.0
180000.0,150000.0,50.0,45.0,22.0,16.0
350.0,60000.0,29.0,32.0,1.5,4.0
,90000.0,,37.0,,8.0
120000.0,180000.0,37.0,47.0,10.0,20.0
160000.0,40000.0,46.0,30.0,18.0,2.0
50000.0,120000.0,31.0,38.0,3.0,9.0
110000.0,160000.0,42.0,46.0,12.0,17.0
40000.0,70000.0,29.0,34.0,1.5,5.0
95000.0,95000.0,36.0,36.0,8.0,8.0
140000.0,180000.0,44.0,49.0,15.0,21.0
60000.0,50000.0,33.0,31.0,4.0,3.0
110000.0,95000.0,39.0,41.0,9.0,11.0
150000.0,170000.0,45.0,47.0,16.0,19.0
60000.0,35000.0,32.0,29.0,4.0,1.5
90000.0,100000.0,37.0,35.0,8.0,9.0
180000.0,150000.0,47.0,44.0,20.0,15.0
40000.0,60000.0,30.0,33.0,2.0,4.0
120000.0,85000.0,38.0,35.0,9.0,8.0
160000.0,130000.0,46.0,44.0,17.0,13.0
70000.0,65000.0,34.0,32.0,5.0,4.0
95000.0,110000.0,36.0,38.0,8.0,10.0
180000.0,180000.0,49.0,49.0,21.0,21.0
50000.0,40000.0,31.0,29.0,3.0,2.0
95000.0,90000.0,41.0,35.0,11.0,7.0
170000.0,140000.0,47.0,45.0,19.0,14.0
35000.0,60000.0,29.0,33.0,1.5,4.0
100000.0,130000.0,35.0,40.0,9.0,12.0
150000.0,160000.0,44.0,44.0,15.0,16.0
60000.0,40000.0,33.0,30.0,4.0,2.0
85000.0,100000.0,35.0,37.0,8.0,9.0
130000.0,180000.0,44.0,48.0,13.0,20.0
65000.0,55000.0,32.0,31.0,4.0,3.0
110000.0,120000.0,38.0,38.0,10.0,9.0
180000.0,150000.0,49.0,45.0,21.0,16.0
40000.0,70000.0,29.0,33.0,2.0,5.0
90000.0,95000.0,35.0,36.0,7.0,8.0
140000.0,180000.0,45.0,49.0,14.0,21.0
60000.0,50000.0,33.0,31.0,4.0,3.0
130000.0,120000.0,40.0,42.0,12.0,12.0
160000.0,170000.0,44.0,47.0,16.0,19.0
40000.0,35000.0,30.0,29.0,2.0,1.5
100000.0,100000.0,37.0,35.0,9.0,9.0
180000.0,150000.0,48.0,44.0,20.0,15.0
55000.0,60000.0,31.0,33.0,3.0,4.0
120000.0,85000.0,38.0,35.0,9.0,8.0
150000.0,130000.0,45.0,44.0,16.0,13.0
70000.0,80000.0,33.0,34.0,5.0,6.0
95000.0,95000.0,36.0,36.0,8.0,8.0
180000.0,40000.0,49.0,30.0,21.0,2.0
50000.0,120000.0,31.0,37.0,3.0,10.0
120000.0,160000.0,42.0,45.0,12.0,16.0
170000.0,65000.0,47.0,32.0,19.0,4.0
35000.0,130000.0,29.0,39.0,1.5,12.0
100000.0,180000.0,35.0,47.0,9.0,20.0
150000.0,40000.0,44.0,29.0,15.0,2.0
60000.0,100000.0,33.0,36.0,4.0,9.0
85000.0,150000.0,35.0,43.0,8.0,15.0
130000.0,55000.0,44.0,32.0,13.0,3.0
80000.0,110000.0,34.0,38.0,6.0,10.0
95000.0,180000.0,36.0,48.0,8.0,21.0
40000.0,50000.0,30.0,31.0,2.0,3.0
120000.0,130000.0,37.0,40.0,10.0,12.0
160000.0,160000.0,45.0,45.0,16.0,16.0
65000.0,60000.0,32.0,33.0,4.0,4.0
130000.0,95000.0,39.0,36.0,12.0,8.0
180000.0,170000.0,47.0,47.0,20.0,19.0
40000.0,40000.0,29.0,29.0,2.0,2.0
100000.0,90000.0,36.0,34.0,9.0,7.0
150000.0,150000.0,43.0,44.0,15.0,15.0
55000.0,70000.0,32.0,33.0,3.0,5.0
110000.0,90000.0,38.0,35.0,10.0,8.0
180000.0,170000.0,48.0,43.0,21.0,18.0
50000.0,50000.0,31.0,31.0,3.0,3.0
130000.0,150000.0,40.0,41.0,12.0,14.0
160000.0,160000.0,45.0,44.0,16.0,16.0
60000.0,60000.0,33.0,33.0,4.0,4.0
95000.0,85000.0,36.0,35.0,8.0,8.0
170000.0,180000.0,47.0,45.0,19.0,19.0
40000.0,35000.0,29.0,28.0,2.0,1.0
90000.0,110000.0,34.0,36.0,7.0,8.0
150000.0,160000.0,44.0,44.0,15.0,16.0
70000.0,55000.0,33.0,31.0,5.0,3.0
90000.0,110000.0,35.0,38.0,8.0,10.0
170000.0,180000.0,43.0,48.0,18.0,21.0
50000.0,50000.0,31.0,31.0,3.0,3.0
150000.0,130000.0,41.0,40.0,14.0,12.0
160000.0,160000.0,44.0,45.0,16.0,16.0
60000.0,60000.0,33.0,33.0,4.0,4.0
85000.0,95000.0,35.0,36.0,8.0,8.0
180000.0,170000.0,45.0,47.0,19.0,19.0
35000.0,40000.0,28.0,29.0,1.0,2.0
110000.0,90000.0,36.0,34.0,8.0,7.0
160000.0,150000.0,44.0,44.0,16.0,15.0
55000.0,70000.0,31.0,33.0,3.0,5.0
110000.0,90000.0,38.0,35.0,10.0,8.0
180000.0,170000.0,48.0,43.0,21.0,18.0
50000.0,50000.0,31.0,31.0,3.0,3.0
130000.0,150000.0,40.0,41.0,12.0,14.0
160000.0,160000.0,45.0,44.0,16.0,16.0
60000.0,60000.0,33.0,33.0,4.0,4.0
95000.0,85000.0,36.0,35.0,8.0,8.0
170000.0,170000.0,47.0,43.0,19.0,19.0
40000.0,40000.0,29.0,29.0,2.0,2.0
90000.0,90000.0,34.0,34.0,7.0,7.0
150000.0,150000.0,44.0,44.0,15.0,15.0
70000.0,160000.0,33.0,31.0,5.0,6.0
90000.0,125000.0,35.0,28.0,8.0,3.0
170000.0,120000.0,43.0,26.0,18.0,2.0
50000.0,110000.0,31.0,27.0,3.0,2.0
150000.0,180000.0,41.0,30.0,14.0,5.0
160000.0,140000.0,44.0,29.0,16.0,4.0
60000.0,170000.0,33.0,32.0,4.0,7.0
85000.0,100000.0,35.0,25.0,8.0,1.0
170000.0,190000.0,43.0,33.0,19.0,8.0
40000.0,155000.0,29.0,31.0,2.0,6.0
90000.0,130000.0,34.0,28.0,7.0,3.0
150000.0,145000.0,44.0,30.0,15.0,5.0
160000.0,115000.0,31.0,27.0,6.0,2.0
125000.0,140000.0,28.0,29.0,3.0,4.0
120000.0,185000.0,26.0,34.0,2.0,9.0
110000.0,100000.0,27.0,25.0,2.0,1.0
180000.0,190000.0,30.0,33.0,5.0,8.0
140000.0,155000.0,29.0,31.0,4.0,6.0
170000.0,130000.0,32.0,28.0,7.0,3.0
100000.0,145000.0,25.0,30.0,1.0,5.0
190000.0,125000.0,33.0,28.0,8.0,3.0
155000.0,120000.0,31.0,26.0,6.0,2.0
130000.0,110000.0,28.0,27.0,3.0,2.0
145000.0,180000.0,30.0,30.0,5.0,5.0
115000.0,140000.0,27.0,29.0,2.0,4.0
140000.0,170000.0,29.0,32.0,4.0,7.0
185000.0,100000.0,34.0,25.0,9.0,1.0
100000.0,190000.0,25.0,33.0,1.0,8.0
190000.0,155000.0,33.0,31.0,8.0,6.0
155000.0,130000.0,31.0,28.0,6.0,3.0
130000.0,145000.0,28.0,30.0,3.0,5.0
145000.0,115000.0,30.0,27.0,5.0,2.0
125000.0,140000.0,28.0,29.0,3.0,4.0
120000.0,185000.0,26.0,34.0,2.0,9.0
110000.0,100000.0,27.0,25.0,2.0,1.0
180000.0,190000.0,30.0,33.0,5.0,8.0
140000.0,155000.0,29.0,31.0,4.0,6.0
170000.0,130000.0,32.0,28.0,7.0,3.0
100000.0,145000.0,25.0,30.0,1.0,5.0
190000.0,125000.0,33.0,28.0,8.0,3.0
155000.0,120000.0,31.0,26.0,6.0,2.0
130000.0,110000.0,28.0,27.0,3.0,2.0
145000.0,180000.0,30.0,30.0,5.0,5.0
115000.0,140000.0,27.0,29.0,2.0,4.0
140000.0,170000.0,29.0,32.0,4.0,7.0
185000.0,100000.0,34.0,25.0,9.0,1.0
100000.0,190000.0,25.0,33.0,1.0,8.0
190000.0,155000.0,33.0,31.0,8.0,6.0
155000.0,130000.0,31.0,28.0,6.0,3.0
130000.0,145000.0,28.0,30.0,3.0,5.0
145000.0,115000.0,30.0,27.0,5.0,2.0
125000.0,140000.0,28.0,29.0,3.0,4.0
120000.0,185000.0,26.0,34.0,2.0,9.0
110000.0,100000.0,27.0,25.0,2.0,1.0
180000.0,190000.0,30.0,33.0,5.0,8.0
140000.0,155000.0,29.0,31.0,4.0,6.0
170000.0,130000.0,32.0,28.0,7.0,3.0
100000.0,145000.0,25.0,30.0,1.0,5.0
190000.0,125000.0,33.0,28.0,8.0,3.0
155000.0,120000.0,31.0,26.0,6.0,2.0
130000.0,110000.0,28.0,27.0,3.0,2.0
145000.0,180000.0,30.0,30.0,5.0,5.0
115000.0,140000.0,27.0,29.0,2.0,4.0
140000.0,170000.0,29.0,32.0,4.0,7.0
185000.0,100000.0,34.0,25.0,9.0,1.0
100000.0,190000.0,25.0,33.0,1.0,8.0
190000.0,155000.0,33.0,31.0,8.0,6.0
155000.0,130000.0,31.0,28.0,6.0,3.0
130000.0,145000.0,28.0,30.0,3.0,5.0
145000.0,115000.0,30.0,27.0,5.0,2.0
125000.0,140000.0,28.0,29.0,3.0,4.0
120000.0,185000.0,26.0,34.0,2.0,9.0
110000.0,100000.0,27.0,25.0,2.0,1.0
180000.0,190000.0,30.0,33.0,5.0,8.0
140000.0,155000.0,29.0,31.0,4.0,6.0
170000.0,130000.0,32.0,28.0,7.0,3.0
100000.0,145000.0,25.0,30.0,1.0,5.0
190000.0,115000.0,33.0,27.0,8.0,2.0
155000.0,140000.0,31.0,29.0,6.0,4.0
130000.0,185000.0,28.0,34.0,3.0,9.0
145000.0,100000.0,30.0,25.0,5.0,1.0
115000.0,190000.0,27.0,33.0,2.0,8.0
140000.0,155000.0,29.0,31.0,4.0,6.0
185000.0,130000.0,34.0,28.0,9.0,3.0
100000.0,145000.0,25.0,30.0,1.0,5.0
190000.0,125000.0,33.0,28.0,8.0,3.0
155000.0,120000.0,31.0,26.0,6.0,2.0
130000.0,110000.0,28.0,27.0,3.0,2.0
145000.0,180000.0,30.0,30.0,5.0,5.0
115000.0,140000.0,27.0,29.0,2.0,4.0
140000.0,170000.0,29.0,32.0,4.0,7.0
185000.0,100000.0,34.0,25.0,9.0,1.0
100000.0,190000.0,25.0,33.0,1.0,8.0
190000.0,155000.0,33.0,31.0,8.0,6.0
155000.0,130000.0,31.0,28.0,6.0,3.0
130000.0,145000.0,28.0,30.0,3.0,5.0
145000.0,115000.0,30.0,27.0,5.0,2.0
125000.0,140000.0,28.0,29.0,3.0,4.0
120000.0,185000.0,26.0,34.0,2.0,9.0
110000.0,100000.0,27.0,25.0,2.0,1.0
180000.0,190000.0,30.0,33.0,5.0,8.0
140000.0,155000.0,29.0,31.0,4.0,6.0
170000.0,130000.0,32.0,28.0,7.0,3.0
100000.0,145000.0,25.0,30.0,1.0,5.0
190000.0,115000.0,33.0,27.0,8.0,2.0
155000.0,140000.0,31.0,29.0,6.0,4.0
130000.0,185000.0,28.0,34.0,3.0,9.0
145000.0,100000.0,30.0,25.0,5.0,1.0
115000.0,190000.0,27.0,33.0,2.0,8.0
140000.0,155000.0,29.0,31.0,4.0,6.0
185000.0,130000.0,34.0,28.0,9.0,3.0
100000.0,145000.0,25.0,30.0,1.0,5.0
190000.0,115000.0,33.0,27.0,8.0,2.0
155000.0,140000.0,31.0,29.0,6.0,4.0
130000.0,185000.0,28.0,34.0,3.0,9.0
145000.0,100000.0,30.0,25.0,5.0,1.0
115000.0,190000.0,27.0,33.0,2.0,8.0
140000.0,155000.0,29.0,31.0,4.0,6.0
185000.0,130000.0,34.0,28.0,9.0,3.0
100000.0,145000.0,25.0,30.0,1.0,5.0
190000.0,115000.0,33.0,27.0,8.0,2.0
155000.0,140000.0,31.0,29.0,6.0,4.0
130000.0,185000.0,28.0,34.0,3.0,9.0
145000.0,100000.0,30.0,25.0,5.0,1.0
115000.0,190000.0,27.0,33.0,2.0,8.0
140000.0,155000.0,29.0,31.0,4.0,6.0
185000.0,130000.0,34.0,28.0,9.0,3.0
100000.0,145000.0,25.0,30.0,1.0,5.0
190000.0,115000.0,33.0,27.0,8.0,2.0
155000.0,140000.0,31.0,29.0,6.0,4.0
130000.0,185000.0,28.0,34.0,3.0,9.0
145000.0,130000.0,30.0,26.0,5.0,3.0
115000.0,180000.0,27.0,29.0,2.0,6.0
140000.0,190000.0,29.0,32.0,4.0,8.0
185000.0,150000.0,34.0,27.0,9.0,4.0
100000.0,90000.0,25.0,24.0,1.0,1.0
190000.0,195000.0,33.0,31.0,8.0,9.0
155000.0,160000.0,31.0,28.0,6.0,5.0
130000.0,198000.0,28.0,33.0,3.0,11.0
145000.0,110000.0,30.0,25.0,5.0,2.0
115000.0,185000.0,27.0,30.0,2.0,7.0
140000.0,140000.0,29.0,27.0,4.0,4.0
185000.0,196000.0,34.0,34.0,9.0,12.0
130000.0,95000.0,26.0,23.0,3.0,1.0
180000.0,193000.0,29.0,32.0,6.0,10.0
190000.0,175000.0,32.0,29.0,8.0,6.0
150000.0,160000.0,27.0,30.0,4.0,5.0
90000.0,130000.0,24.0,26.0,1.0,3.0
195000.0,180000.0,31.0,31.0,9.0,6.0
160000.0,160000.0,28.0,28.0,5.0,5.0
198000.0,198000.0,33.0,33.0,11.0,11.0
110000.0,90000.0,25.0,24.0,2.0,1.0
185000.0,185000.0,30.0,30.0,7.0,7.0
140000.0,140000.0,27.0,27.0,4.0,4.0
196000.0,196000.0,34.0,34.0,12.0,12.0
95000.0,110000.0,23.0,25.0,1.0,2.0
193000.0,180000.0,32.0,29.0,10.0,6.0
175000.0,190000.0,29.0,32.0,6.0,8.0
160000.0,150000.0,30.0,27.0,5.0,4.0
130000.0,195000.0,26.0,31.0,3.0,9.0
180000.0,160000.0,31.0,28.0,6.0,5.0
160000.0,198000.0,28.0,33.0,5.0,11.0
198000.0,130000.0,33.0,26.0,11.0,3.0
90000.0,185000.0,24.0,30.0,1.0,7.0
185000.0,140000.0,30.0,27.0,7.0,4.0
140000.0,196000.0,27.0,34.0,4.0,12.0
196000.0,110000.0,34.0,25.0,12.0,2.0
110000.0,190000.0,25.0,32.0,2.0,8.0
180000.0,180000.0,29.0,29.0,6.0,6.0
190000.0,160000.0,32.0,30.0,8.0,5.0
150000.0,198000.0,27.0,33.0,4.0,11.0
195000.0,90000.0,31.0,24.0,9.0,1.0
160000.0,195000.0,28.0,31.0,5.0,9.0
198000.0,160000.0,33.0,28.0,11.0,5.0
130000.0,150000.0,26.0,27.0,3.0,4.0
185000.0,130000.0,30.0,26.0,7.0,3.0
140000.0,180000.0,27.0,29.0,4.0,6.0
196000.0,190000.0,34.0,32.0,12.0,8.0
110000.0,198000.0,25.0,33.0,2.0,11.0
190000.0,110000.0,32.0,25.0,8.0,2.0
180000.0,185000.0,29.0,30.0,6.0,7.0
160000.0,140000.0,30.0,27.0,5.0,4.0
198000.0,196000.0,33.0,34.0,11.0,12.0
90000.0,195000.0,24.0,31.0,1.0,9.0
195000.0,160000.0,31.0,28.0,9.0,5.0
160000.0,130000.0,28.0,26.0,5.0,3.0
150000.0,180000.0,27.0,29.0,4.0,6.0
130000.0,190000.0,26.0,32.0,3.0,8.0
180000.0,198000.0,29.0,33.0,6.0,11.0
190000.0,90000.0,32.0,24.0,8.0,1.0
198000.0,140000.0,33.0,27.0,11.0,4.0
110000.0,110000.0,25.0,25.0,2.0,2.0
185000.0,185000.0,30.0,30.0,7.0,7.0
140000.0,195000.0,27.0,31.0,4.0,9.0
196000.0,160000.0,34.0,28.0,12.0,5.0
195000.0,130000.0,31.0,26.0,9.0,3.0
160000.0,180000.0,28.0,29.0,5.0,6.0
130000.0,190000.0,26.0,32.0,3.0,8.0
180000.0,198000.0,29.0,33.0,6.0,11.0
190000.0,90000.0,32.0,24.0,8.0,1.0
198000.0,140000.0,33.0,27.0,11.0,4.0
90000.0,110000.0,24.0,25.0,1.0,2.0
140000.0,185000.0,27.0,30.0,4.0,7.0
110000.0,195000.0,25.0,31.0,2.0,9.0
185000.0,160000.0,30.0,28.0,7.0,5.0
195000.0,130000.0,31.0,26.0,9.0,3.0
160000.0,180000.0,28.0,29.0,5.0,6.0
130000.0,190000.0,26.0,32.0,3.0,8.0
180000.0,198000.0,29.0,33.0,6.0,11.0
190000.0,90000.0,32.0,24.0,8.0,1.0
198000.0,140000.0,33.0,27.0,11.0,4.0
90000.0,110000.0,24.0,25.0,1.0,2.0
140000.0,185000.0,27.0,30.0,4.0,7.0
110000.0,195000.0,25.0,31.0,2.0,9.0
185000.0,160000.0,30.0,28.0,7.0,5.0
195000.0,130000.0,31.0,26.0,9.0,3.0
160000.0,180000.0,28.0,29.0,5.0,6.0
130000.0,190000.0,26.0,32.0,3.0,8.0
180000.0,198000.0,29.0,33.0,6.0,11.0
190000.0,90000.0,32.0,24.0,8.0,1.0
198000.0,140000.0,33.0,27.0,11.0,4.0
90000.0,125000.0,24.0,25.0,1.0,2.0
140000.0,175000.0,27.0,28.0,4.0,6.0
110000.0,190000.0,25.0,30.0,2.0,8.0
185000.0,150000.0,30.0,27.0,7.0,4.0
195000.0,95000.0,31.0,24.0,9.0,1.0
160000.0,195000.0,28.0,31.0,5.0,9.0
130000.0,160000.0,26.0,28.0,3.0,5.0
180000.0,198000.0,29.0,33.0,6.0,11.0
190000.0,130000.0,32.0,26.0,8.0,3.0
198000.0,185000.0,33.0,30.0,11.0,7.0
90000.0,140000.0,24.0,27.0,1.0,4.0
140000.0,196000.0,27.0,34.0,4.0,12.0
125000.0,90000.0,25.0,23.0,2.0,1.0
175000.0,193000.0,28.0,32.0,6.0,10.0
190000.0,170000.0,30.0,29.0,8.0,6.0
150000.0,160000.0,27.0,30.0,4.0,5.0
95000.0,135000.0,24.0,26.0,1.0,3.0
195000.0,180000.0,31.0,31.0,9.0,6.0
160000.0,160000.0,28.0,28.0,5.0,5.0
198000.0,198000.0,33.0,33.0,11.0,11.0
130000.0,90000.0,26.0,24.0,3.0,1.0
185000.0,185000.0,30.0,30.0,7.0,7.0
140000.0,140000.0,27.0,27.0,4.0,4.0
196000.0,196000.0,34.0,34.0,12.0,12.0
90000.0,115000.0,23.0,25.0,1.0,2.0
193000.0,180000.0,32.0,29.0,10.0,6.0
170000.0,190000.0,29.0,32.0,6.0,8.0
160000.0,150000.0,30.0,27.0,5.0,4.0
135000.0,195000.0,26.0,31.0,3.0,9.0
180000.0,160000.0,31.0,28.0,6.0,5.0
160000.0,198000.0,28.0,33.0,5.0,11.0
198000.0,130000.0,33.0,26.0,11.0,3.0
